Polling Firm,Fieldwork Date,Sample Size,Others,Don't know,Lead,United Right,Civic Coalition,Third Way,Polish Coalition,Poland 2050,The Left,Confederation,Nonpartisan Local Gov. Activists,There is One Poland,Kukiz'15,AGROunia,Agreement,Independents & Local Gov. Activists,Agreement + Polish Coalition,AGROunia + Agreement,Polish Coalition + Kukiz'15,Law and Justice,Civic Platform,.Nowoczesna,Democratic Left Alliance,Polish People's Party,KORWiN,Razem,Spring,Civic Platform + .Nowoczesna,Civic Platform + .Nowoczesna + Democratic Left Alliance + Polish People's Party,Your Movement,Democratic Left Alliance + Your Movement,Congress of the New Right,Solidarity Poland,Solidarity Poland + Poland Together,Palikot's Movement,Poland Together
Kantar Public,08.09.2021,979.0,,16.0,7.0,32.0,25.0,,3.0,12.0,6.0,4.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
IBRiS,07.09.2021,1100.0,,9.9,13.5,36.5,23.0,,2.9,11.3,8.5,7.6,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
Social Changes,06.09.2021,1051.0,,1.0,11.0,37.0,26.0,,3.0,16.0,8.0,7.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,06.09.2021,1077.0,,11.2,8.5,30.5,22.0,,0.8,17.9,7.2,8.5,,,1.6,,0.4,,,,,,,,,,,,,,,,,,,,,
IBRiS,04.09.2021,1100.0,,8.4,13.5,36.6,23.1,,4.4,11.5,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,03.09.2021,1047.0,,6.22,10.74,36.72,25.98,,,14.78,7.53,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,
IBSP,03.09.2021,1000.0,,5.41,10.52,34.61,24.09,,2.65,15.82,7.73,9.69,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,30.08.2021,1065.0,,0.0,10.0,35.0,25.0,,3.0,17.0,9.0,8.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
IBRiS,28.08.2021,1100.0,,9.2,9.6,35.3,25.7,,4.0,10.1,9.3,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,27.08.2021,1000.0,,7.9,12.2,37.1,25.0,,4.5,8.4,9.0,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,27.08.2021,1000.0,,6.4,10.8,36.3,25.5,,4.4,10.6,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,27.08.2021,1036.0,,6.0,13.0,37.0,24.0,,,16.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOS,26.08.2021,1167.0,,23.0,16.0,34.0,18.0,,3.0,11.0,5.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,24.08.2021,1100.0,,9.1,11.2,35.5,24.3,,4.2,11.7,7.8,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,23.08.2021,1057.0,,2.0,7.0,33.0,26.0,,2.0,17.0,8.0,9.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Pollster,16.08.2021,1044.0,,0.2,8.0,34.0,26.0,,4.0,18.0,8.0,8.0,,,1.0,,0.8,,,,,,,,,,,,,,,,,,,,,
Research Partner,16.08.2021,1039.0,,12.8,8.4,30.6,22.2,,2.0,17.0,6.9,7.2,,,1.3,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,16.08.2021,1039.0,,21.0,4.7,27.4,22.7,,1.8,14.5,5.8,5.9,,,0.4,,0.6,,,,,,,,,,,,,,,,,,,,,
Social Changes,16.08.2021,1052.0,,1.0,7.0,33.0,26.0,,2.0,18.0,7.0,9.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
Kantar,13.08.2021,800.0,,7.0,,26.0,26.0,,3.0,17.0,10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar,11.08.2021,981.0,,15.0,13.0,35.0,22.0,,4.0,9.0,7.0,6.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
ewybory.eu,10.08.2021,10088.0,,1.03,1.66,31.38,29.72,,5.29,7.83,14.1,10.65,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,09.08.2021,1083.0,,1.0,8.0,34.0,26.0,,2.0,17.0,8.0,8.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,02.08.2021,1064.0,,1.0,11.0,34.0,23.0,,3.0,21.0,7.0,8.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,02.08.2021,1040.0,,13.6,8.8,30.8,22.0,,1.7,15.4,6.8,6.9,,,2.7,,,,,,,,,,,,,,,,,,,,,,,
Pollster,02.08.2021,1049.0,,0.28,8.7,34.48,25.78,,3.07,16.29,8.27,9.68,,,2.15,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,01.08.2021,1094.0,,9.0,6.3,33.6,27.3,,5.0,11.1,9.1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,30.07.2021,1000.0,,10.4,6.6,34.2,27.6,,5.0,10.0,6.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,26.07.2021,1063.0,,1.0,12.0,36.0,24.0,,2.0,19.0,7.0,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,26.07.2021,1063.0,,1.0,8.0,35.0,27.0,,2.0,19.0,7.0,6.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,25.07.2021,1100.0,,11.8,7.4,33.6,26.2,,5.0,10.9,7.1,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
IBSP,23.07.2021,1001.0,,3.08,8.61,34.85,26.24,,2.32,19.76,6.38,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,19.07.2021,1051.0,,11.4,6.1,30.2,24.1,,1.8,17.4,7.5,5.9,,,1.7,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,19.07.2021,1049.0,,1.0,9.0,34.0,25.0,,2.0,19.0,8.0,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Kantar,14.07.2021,969.0,,16.0,7.0,30.0,23.0,,4.0,15.0,5.0,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,12.07.2021,1062.0,,1.0,10.0,34.0,24.0,,4.0,20.0,9.0,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Kantar,11.07.2021,1000.0,,14.0,5.0,29.0,24.0,,3.0,15.0,7.0,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
CBOS,11.07.2021,1166.0,,21.0,20.0,36.0,16.0,,3.0,13.0,5.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Pollster,07.07.2021,1049.0,,0.68,10.95,35.25,24.3,,4.3,18.75,6.45,7.67,,,2.6,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,07.07.2021,1000.0,,8.5,13.9,35.2,21.3,,5.1,16.5,7.8,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,06.07.2021,1100.0,,10.0,14.0,34.0,20.0,,5.3,15.5,8.2,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,05.07.2021,1041.0,,12.1,11.5,30.6,18.6,,1.9,19.1,6.4,8.2,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,05.07.2021,1000.0,,11.0,14.4,33.0,18.6,,6.0,16.6,7.8,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,05.07.2021,1057.0,,1.0,9.0,33.0,21.0,,2.0,24.0,9.0,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Opinia24,05.07.2021,1000.0,,8.0,6.0,29.0,23.0,,4.0,17.0,8.0,10.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,30.06.2021,1100.0,,8.2,16.4,33.5,16.9,,6.6,17.1,9.5,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,28.06.2021,1082.0,,1.0,11.0,34.0,17.0,,3.0,23.0,10.0,10.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Pollster,27.06.2021,1088.0,,1.06,12.75,35.79,20.96,,4.84,23.04,6.32,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,26.06.2021,1100.0,,9.5,15.6,33.5,16.1,,5.4,17.9,8.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar,25.06.2021,1001.0,,11.0,9.0,30.0,19.0,,4.0,21.0,6.0,8.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,21.06.2021,1048.0,,10.8,8.7,31.2,17.4,,3.1,22.5,7.0,6.1,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,21.06.2021,1060.0,,1.0,8.0,33.0,19.0,,4.0,25.0,9.0,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,21.06.2021,1060.0,,1.0,7.0,32.0,25.0,,3.0,22.0,8.0,6.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,20.06.2021,1100.0,,7.7,14.5,34.7,13.0,,5.1,20.2,9.1,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,19.06.2021,1000.0,,9.3,15.2,34.2,14.7,,5.3,19.0,10.4,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOS,17.06.2021,1218.0,,22.0,19.5,35.6,11.3,,2.0,16.1,5.3,5.5,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Kantar,16.06.2021,986.0,,17.0,10.0,30.0,20.0,,4.0,14.0,7.0,6.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,14.06.2021,1068.0,,1.0,10.0,35.0,17.0,,3.0,25.0,10.0,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,11.06.2021,1000.0,,14.4,12.6,32.4,13.0,,4.7,19.8,7.6,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,07.06.2021,1106.0,,9.9,6.3,31.1,16.0,,2.7,24.8,6.8,6.1,,,2.3,,,,,,,,,,,,,,,,,,,,,,,
Pollster,06.06.2021,1047.0,,0.73,13.16,36.18,18.44,,4.92,23.02,7.01,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,06.06.2021,1067.0,,1.0,8.0,34.0,16.0,,3.0,26.0,8.0,9.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,04.06.2021,1000.0,,8.2,11.4,34.4,14.0,,4.7,23.0,8.1,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,31.05.2021,1100.0,,12.9,14.7,34.9,14.1,,5.0,20.2,8.4,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,31.05.2021,1057.0,,1.0,8.0,35.0,15.0,,3.0,27.0,9.0,7.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,28.05.2021,1100.0,,0.0,17.4,40.3,15.9,,4.4,22.9,9.4,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,25.05.2021,1000.0,,9.9,11.0,33.7,13.0,,4.3,22.7,8.0,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,24.05.2021,1088.0,,1.0,10.0,34.0,17.0,,2.0,24.0,9.0,10.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,22.05.2021,1100.0,,11.0,15.0,33.6,14.6,,4.9,18.6,10.4,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,21.05.2021,1000.0,,9.8,12.7,34.8,13.2,,5.3,22.1,9.1,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,21.05.2021,1022.0,,0.3,16.2,38.4,14.6,,4.7,22.2,10.8,7.1,,,1.9,,,,,,,,,,,,,,,,,,,,,,,
Pollster,20.05.2021,1013.0,,0.87,17.2,38.1,19.2,,4.95,20.9,7.26,8.72,,,,,,,,,,,,,,,,,,,,,,,,,,
PGB Opinium,20.05.2021,1011.0,,9.2,8.3,31.7,14.7,,3.5,23.4,8.1,8.7,,,0.7,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,19.05.2021,1100.0,,9.4,14.0,34.4,14.2,,5.2,20.4,9.5,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,17.05.2021,1064.0,,1.0,10.0,33.0,16.0,,3.0,23.0,9.0,12.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,17.05.2021,1098.0,,14.2,10.4,30.9,16.6,,1.7,20.5,6.4,7.7,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
UCE RESEARCH,16.05.2021,1122.0,,1.7,15.13,35.66,17.34,,3.0,20.53,5.6,9.74,,,6.43,,,,,,,,,,,,,,,,,,,,,,,
CBOS,16.05.2021,1163.0,,19.0,15.7,32.8,11.0,,2.0,17.1,5.5,6.1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
IBSP,14.05.2021,1001.0,,2.61,3.12,30.8,15.05,,2.4,27.68,9.98,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar,12.05.2021,984.0,,13.0,12.0,33.0,21.0,,3.0,17.0,6.0,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Kantar,11.05.2021,1100.0,,0.0,11.0,32.0,19.0,,4.0,21.0,10.0,11.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,11.05.2021,1000.0,,9.9,11.6,33.5,12.1,,4.3,21.9,9.6,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,11.05.2021,1000.0,,8.4,14.4,34.0,15.7,,6.4,19.6,9.1,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,10.05.2021,1073.0,,2.0,9.0,34.0,18.0,,2.0,25.0,7.0,10.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,09.05.2021,1100.0,,9.8,15.2,35.1,14.7,,5.6,19.9,9.1,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,05.05.2021,1100.0,,7.7,15.0,33.9,15.3,,4.5,18.9,10.7,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,04.05.2021,1000.0,,7.9,15.0,35.4,15.1,,5.1,20.4,10.4,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,04.05.2021,1070.0,,2.0,11.0,34.0,16.0,,2.0,23.0,10.0,10.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,03.05.2021,1127.0,,13.0,4.3,27.9,17.2,,1.5,23.6,7.2,7.7,,,1.6,,,,,,,,,,,,,,,,,,,,,,,
Kantar,28.04.2021,1001.0,,8.0,9.0,30.0,21.0,,3.0,20.0,9.0,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,28.04.2021,1000.0,,5.0,11.0,33.0,18.0,,2.0,22.0,9.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,26.04.2021,1067.0,,1.0,8.0,32.0,20.0,,2.0,24.0,10.0,8.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,25.04.2021,1100.0,,11.6,16.0,33.1,16.1,,4.4,17.1,10.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,20.04.2021,1066.0,,1.12,13.86,35.77,17.34,,5.14,21.91,10.08,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,20.04.2021,1100.0,,10.7,16.2,32.6,16.4,,4.9,15.7,11.5,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,19.04.2021,1072.0,,1.0,8.0,34.0,16.0,,2.0,26.0,10.0,8.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,19.04.2021,1115.0,,10.3,8.3,29.4,17.0,,2.4,21.1,9.2,8.4,,,2.3,,,,,,,,,,,,,,,,,,,,,,,
CBOS,18.04.2021,1131.0,,20.9,16.4,32.0,14.2,,1.3,15.6,5.1,4.9,,,1.2,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,16.04.2021,1000.0,,14.0,14.9,32.2,17.0,,4.9,17.3,7.7,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,16.04.2021,1029.0,,0.3,15.0,35.9,18.1,,5.2,20.9,10.7,6.8,,,2.1,,,,,,,,,,,,,,,,,,,,,,,
Kantar,14.04.2021,980.0,,11.0,9.0,31.0,22.0,,3.0,16.0,9.0,6.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,12.04.2021,1069.0,,1.0,9.0,33.0,18.0,,2.0,24.0,10.0,9.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,10.04.2021,1100.0,,14.3,11.9,31.0,15.2,,5.1,19.1,8.1,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,09.04.2021,1000.0,,11.2,14.3,33.3,17.9,,4.9,19.0,8.9,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
IBSP,09.04.2021,1000.0,,2.69,5.31,30.36,20.32,,2.0,25.05,10.81,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,06.04.2021,1129.0,,11.6,3.3,27.1,17.5,,2.3,23.8,7.3,7.6,,,2.8,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,05.04.2021,1074.0,,14.0,10.0,34.0,24.0,,3.0,,14.0,8.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,05.04.2021,1074.0,,2.0,8.0,30.0,20.0,,2.0,22.0,13.0,8.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,29.03.2021,1094.0,,15.0,10.0,32.0,22.0,,3.0,,13.0,11.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,29.03.2021,1094.0,,2.0,6.0,28.0,17.0,,5.0,22.0,12.0,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,28.03.2021,1100.0,,13.1,13.7,31.0,17.3,,5.0,17.2,9.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,22.03.2021,1085.0,,15.0,9.0,32.0,23.0,,4.0,,12.0,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,22.03.2021,1085.0,,2.0,5.0,29.0,18.0,,3.0,24.0,10.0,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,22.03.2021,1128.0,,10.9,7.7,29.8,15.7,,2.3,22.1,8.7,8.7,,,1.8,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,19.03.2021,1000.0,,12.9,14.7,33.2,18.5,,6.3,13.2,9.3,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar,19.03.2021,1000.0,,10.0,3.0,28.0,17.0,,2.0,25.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar,18.03.2021,1000.0,,16.0,3.0,26.0,16.0,,3.0,23.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,15.03.2021,1078.0,,14.0,9.0,33.0,24.0,,3.0,,13.0,10.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,15.03.2021,1078.0,,2.0,6.0,31.0,18.0,,2.0,25.0,10.0,9.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Estymator,12.03.2021,1025.0,,0.2,19.4,37.7,17.1,,5.9,18.3,11.6,6.8,,,2.4,,,,,,,,,,,,,,,,,,,,,,,
PGB Opinium,12.03.2021,1098.0,,7.48,8.4,30.0,18.8,,4.1,21.6,8.6,8.3,,,1.1,,,,,,,,,,,,,,,,,,,,,,,
CBOS,11.03.2021,1154.0,,22.3,16.1,33.3,11.3,,2.4,17.2,6.0,6.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,
Kantar,10.03.2021,985.0,,14.0,6.0,30.0,24.0,,3.0,14.0,8.0,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,08.03.2021,1145.0,,11.4,4.8,26.9,17.9,,1.1,22.1,10.0,8.0,,,2.5,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,08.03.2021,1054.0,,13.0,8.0,32.0,24.0,,4.0,,13.0,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,08.03.2021,1054.0,,2.0,11.0,31.0,20.0,,3.0,20.0,12.0,9.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Opinia24,07.03.2021,3007.0,,7.0,5.0,29.0,20.0,,2.0,24.0,9.0,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,06.03.2021,1100.0,,12.1,14.2,32.3,18.1,,6.0,17.9,7.4,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,05.03.2021,1000.0,,11.6,15.3,33.0,17.5,,5.3,17.7,9.6,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollster,04.03.2021,1033.0,,0.96,19.54,39.86,20.32,,4.8,17.32,9.79,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,01.03.2021,1071.0,,13.0,2.0,30.0,28.0,,3.0,,12.0,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,01.03.2021,1071.0,,2.0,6.0,28.0,22.0,,3.0,21.0,11.0,9.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,28.02.2021,1100.0,,10.6,14.7,32.9,18.2,,5.9,17.3,10.1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBSP,26.02.2021,1001.0,,3.4,4.3,26.96,18.85,,3.23,31.26,9.34,6.96,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,26.02.2021,1041.0,,0.2,18.4,37.6,19.2,,5.5,17.1,11.4,6.9,,,2.1,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,22.02.2021,1076.0,,11.0,7.0,33.0,26.0,,3.0,,13.0,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,22.02.2021,1076.0,,2.0,7.0,30.0,19.0,,2.0,23.0,12.0,8.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,19.02.2021,1000.0,,9.3,14.2,33.5,19.3,,5.8,14.6,11.4,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PGB Opinium,16.02.2021,1100.0,,8.0,10.6,31.2,19.0,,4.9,20.6,7.5,8.2,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,15.02.2021,1095.0,,13.0,9.0,33.0,24.0,,3.0,,15.0,9.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,15.02.2021,1095.0,,2.0,7.0,30.0,17.0,,3.0,23.0,12.0,10.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Estymator,13.02.2021,1022.0,,0.3,15.9,37.4,21.5,,5.4,16.2,9.7,7.1,,,2.4,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,12.02.2021,1014.0,,7.0,9.0,29.0,20.0,,4.0,20.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOS,11.02.2021,1179.0,,22.3,14.0,33.2,12.4,,2.0,19.2,4.4,5.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Kantar,10.02.2021,676.0,,17.0,13.0,31.0,18.0,,4.0,15.0,7.0,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,08.02.2021,1051.0,,14.0,5.0,30.0,25.0,,4.0,,11.0,10.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,08.02.2021,1051.0,,2.0,6.0,29.0,20.0,,2.0,23.0,10.0,9.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,06.02.2021,1100.0,,12.0,13.0,32.0,19.0,,5.0,18.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,05.02.2021,1000.0,,11.2,13.8,33.5,19.7,,5.6,15.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar Archived 20210209 at the Wayback Machine,03.02.2021,980.0,,17.0,6.0,29.0,23.0,,4.0,14.0,6.0,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,01.02.2021,1074.0,,16.0,11.0,34.0,23.0,,2.0,,12.0,9.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,01.02.2021,1074.0,,2.0,4.0,31.0,17.0,,2.0,27.0,9.0,9.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Pollster,01.02.2021,1081.0,,0.0,18.21,41.42,23.21,,3.59,15.25,9.73,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,31.01.2021,1100.0,,11.1,11.9,31.1,19.2,,5.5,16.9,8.9,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,29.01.2021,1029.0,,0.2,16.6,38.4,21.8,,5.2,14.6,11.1,6.7,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
IBSP,26.01.2021,1001.0,,3.94,0.74,26.96,20.24,,2.61,27.7,7.56,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,25.01.2021,1066.0,,12.0,5.0,31.0,26.0,,5.0,,12.0,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,25.01.2021,1066.0,,2.0,5.0,29.0,21.0,,4.0,24.0,9.0,8.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,23.01.2021,1100.0,,10.9,10.4,30.0,19.6,,5.0,17.5,9.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,22.01.2021,1000.0,,12.0,11.6,32.5,20.9,,3.6,16.2,10.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
PGB Opinium,21.01.2021,1100.0,,8.8,13.9,34.7,20.8,,5.5,14.3,8.6,6.5,,,0.9,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,18.01.2021,1097.0,,8.0,4.0,33.0,29.0,,3.0,,12.0,11.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,18.01.2021,1097.0,,1.0,8.0,30.0,22.0,,2.0,22.0,10.0,10.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Estymator,15.01.2021,1020.0,,0.3,17.5,39.6,22.1,,6.6,12.9,10.2,6.0,,,2.3,,,,,,,,,,,,,,,,,,,,,,,
CBOS,14.01.2021,1150.0,,19.6,17.0,35.2,13.7,,2.0,18.2,5.0,5.3,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,11.01.2021,1085.0,,9.0,8.0,35.0,27.0,,3.0,,12.0,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,11.01.2021,1085.0,,1.0,9.0,32.0,23.0,,2.0,22.0,9.0,8.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,09.01.2021,1100.0,,14.3,12.6,33.2,20.6,,5.2,12.6,7.7,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,05.01.2021,1090.0,,9.0,4.0,33.0,29.0,,4.0,,12.0,9.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,05.01.2021,1090.0,,3.0,7.0,31.0,24.0,,2.0,19.0,10.0,7.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Estymator,29.12.2020,1031.0,,1.2,15.6,39.2,23.6,,7.4,12.9,10.9,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
